,0,1,2,3,4,5,6
0,Board and Committee Meetings and Attendance,,,,,,
1,,,,,Board Committee Meetings,,
2,,Board Meetings,Audit,Nomination,Remuneration,Safety,Risk
3,Lee Boon Yang,11,–,3,4,4,–
4,Loh Chin Hua,11,–,–,–,4,–
5,Tow Heng Tan,8,–,3,2,–,4
6,Alvin Yeo Khirn Hai,9,5,1,–,–,–
7,Tan Ek Kia,9,5,–,–,4,4
8,Danny Teoh,10,5,–,4,–,4
9,Tan Puay Chiang1,10,–,3,–,4,4
10,Till Vestring,11,–,3,4,–,–
11,Veronica Eng,11,5,–,–,–,4
12,Jean-François Manzoni2,3 out of 3,–,–,–,–,–
13,No. of Meetings Held,11,5,3,4,4,4
